,,,,,,,,,,,,,,,,
,"AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"PA0",-0,"TIM2_CH1/
TIM2_
ETR","TIM5_
CH1","TIM8_ETR",-0,-0,-0,"USART2_
CTS","UART4_
TX",-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PA1",-0,"TIM2_CH2","TIM5_
CH2",-0,-0,"SPI4_MOSI/I
2S4_SD",-0,"USART2_
RTS","UART4_
RX","QUADSPI_
BK1_IO3",-0,-0,-0,-0,-0,"EVENT
OUT"
"PA2",-0,"TIM2_CH3","TIM5_
CH3","TIM9_CH1",-0,"I2S2_CKIN",-0,"USART2_
TX",-0,-0,-0,-0,"FSMC_D4/
FSMC_DA4",-0,-0,"EVENT
OUT"
"PA3",-0,"TIM2_CH4","TIM5_
CH4","TIM9_CH2",-0,"I2S2_MCK",-0,"USART2_
RX",-0,-0,"SAI1_SD_B",-0,"FSMC_D5/
FSMC_DA5",-0,-0,"EVENT
OUT"
"PA4",-0,-0,-0,-0,-0,"SPI1_NSS/I2
S1_WS","SPI3_NSS/I
2S3_WS","USART2_
CK","DFSDM1_
DATIN1",-0,-0,-0,"FSMC_D6/
FSMC_DA6",-0,-0,"EVENT
OUT"
"PA5",-0,"TIM2_CH1/
TIM2_
ETR",-0,"TIM8_CH1N",-0,"SPI1_SCK/I2
S1_CK",-0,-0,"DFSDM1_
CKIN1",-0,-0,-0,"FSMC_D7/
FSMC_DA7",-0,-0,"EVENT
OUT"
"PA6",-0,"TIM1_
BKIN","TIM3_
CH1","TIM8_BKIN",-0,"SPI1_MISO","I2S2_MCK","DFSDM2_
CKIN1",-0,"TIM13_
CH1","QUADSPI_B
K2_IO0",-0,"SDIO_
CMD",-0,-0,"EVENT
OUT"
"PA7",-0,"TIM1_
CH1N","TIM3_
CH2","TIM8_
CH1N",-0,"SPI1_MOSI/I
2S1_SD",-0,"DFSDM2_
DATIN1",-0,"TIM14_
CH1","QUADSPI_B
K2_IO1",-0,-0,-0,-0,"EVENT
OUT"
"PA8","MCO_1","TIM1_CH1",-0,-0,"I2C3_
SCL",-0,"DFSDM1_
CKOUT","USART1_
CK","UART7_
RX",-0,"USB_FS_
SOF","CAN3_
RX","SDIO_
D1",-0,-0,"EVENT
OUT"
"PA9",-0,"TIM1_CH2",-0,"DFSDM2_
CKIN3","I2C3_
SMBA","SPI2_SCK/I2
S2_CK",-0,"USART1_
TX",-0,-0,"USB_FS_
VBUS",-0,"SDIO_
D2",-0,-0,"EVENT
OUT"
"PA10",-0,"TIM1_CH3",-0,"DFSDM2_
DATIN3",-0,"SPI2_MOSI/I
2S2_SD","SPI5_MOSI/
I2S5_SD","USART1_
RX",-0,-0,"USB_FS_
ID",-0,-0,-0,-0,"EVENT
OUT"
"PA11",-0,"TIM1_CH4",-0,"DFSDM2_
CKIN5",-0,"SPI2_NSS/I2
S2_WS","SPI4_MISO","USART1_
CTS","USART6_
TX","CAN1_RX","USB_FS_
DM","UART4_
RX",-0,-0,-0,"EVENT
OUT"
"PA12",-0,"TIM1_ETR",-0,"DFSDM2_
DATIN5",-0,"SPI2_MISO","SPI5_MISO","USART1_
RTS","USART6_
RX","CAN1_TX","USB_FS_
DP","UART4_
TX",-0,-0,-0,"EVENT
OUT"
"PA13","JTMS-
SWDIO",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PA14","JTCK-
SWCLK",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PA15","JTDI","TIM2_CH1/
TIM2_
ETR",-0,-0,-0,"SPI1_NSS/
I2S1_WS","SPI3_NSS/
I2S3_WS","USART1_
TX","UART7_
TX",-0,"SAI1_
MCLK_A","CAN3_
TX",-0,-0,-0,"EVENT
OUT"
"PB0",-0,"TIM1_
CH2N","TIM3_
CH3","TIM8_
CH2N",-0,-0,"SPI5_SCK/I
2S5_CK",-0,-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PB1",-0,"TIM1_
CH3N","TIM3_
CH4","TIM8_
CH3N",-0,-0,"SPI5_NSS/
I2S5_WS",-0,"DFSDM1_
DATIN0","QUADSPI_C
LK",-0,-0,-0,-0,-0,"EVENT
OUT"
"PB2",-0,"LPTIM1_
OUT",-0,-0,-0,-0,"DFSDM1_
CKIN0",-0,-0,"QUADSPI_C
LK",-0,-0,-0,-0,-0,"EVENT
OUT"
"PB3","JTDO-
SWO","TIM2_CH2",-0,-0,"I2CFMP1
_SDA","SPI1_SCK/I2
S1_CK","SPI3_SCK/I
2S3_CK","USART1_
RX","UART7_
RX","I2C2_SDA","SAI1_SD_A","CAN3_
RX",-0,-0,-0,"EVENT
OUT"
"PB4","JTRST",-0,"TIM3_
CH1",-0,-0,"SPI1_MISO","SPI3_MISO","I2S3ext_
SD","UART7_
TX","I2C3_SDA","SAI1_SCK_
A","CAN3_
TX","SDIO_D0",-0,-0,"EVENT
OUT"
"PB5",-0,"LPTIM1_
IN1","TIM3_
CH2",-0,"I2C1_
SMBA","SPI1_MOSI/I
2S1_SD","SPI3_MOSI/
I2S3_SD",-0,-0,"CAN2_RX","SAI1_FS_A","UART5_
RX","SDIO_D3",-0,-0,"EVENT
OUT"
"PB6",-0,"LPTIM1_
ETR","TIM4_
CH1",-0,"I2C1_SCL",-0,"DFSDM2_
CKIN7","USART1_
TX",-0,"CAN2_TX","QUADSPI_
BK1_NCS","UART5_
TX","SDIO_D0",-0,-0,"EVENT
OUT"
"PB7",-0,"LPTIM1_
IN2","TIM4_
CH2",-0,"I2C1_
SDA",-0,"DFSDM2_
DATIN7","USART1_
RX",-0,-0,-0,-0,"FSMC_NL",-0,-0,"EVENT
OUT"
"PB8",-0,"LPTIM1_
OUT","TIM4_
CH3","TIM10_
CH1","I2C1_
SCL",-0,"SPI5_MOSI/
I2S5_SD","DFSDM2_
CKIN1","CAN1_RX","I2C3_SDA",-0,"UART5_
RX","SDIO_D4",-0,-0,"EVENT
OUT"
"PB9",-0,-0,"TIM4_
CH4","TIM11_
CH1","I2C1_
SDA","SPI2_NSS/I2
S2_WS","DFSDM2_
DATIN1",-0,"CAN1_TX","I2C2_SDA",-0,"UART5_
TX","SDIO_D5",-0,-0,"EVENT
OUT"
"PB10",-0,"TIM2_CH3",-0,-0,"I2C2_
SCL","SPI2_SCK/I2
S2_CK","I2S3_MCK","USART3_
TX",-0,"I2CFMP1_
SCL","DFSDM2_
CKOUT",-0,"SDIO_D7",-0,-0,"EVENT
OUT"
"PB11",-0,"TIM2_CH4",-0,-0,"I2C2_
SDA","I2S2_CKIN",-0,"USART3_
RX",-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PB12",-0,"TIM1_
BKIN",-0,-0,"I2C2_
SMBA","SPI2_NSS/I2
S2_WS","SPI4_NSS/
I2S4_WS","SPI3_SCK/
I2S3_CK","USART3_
CK","CAN2_RX","DFSDM1_
DATIN1","UART5_
RX","FSMC_D13/F
SMC_DA13",-0,-0,"EVENT
OUT"
"PB13",-0,"TIM1_
CH1N",-0,-0,"I2CFMP1
_SMBA","SPI2_SCK/I2
S2_CK","SPI4_SCK/
I2S4_CK",-0,"USART3_
CTS","CAN2_TX","DFSDM1_
CKIN1","UART5_
TX",-0,-0,-0,"EVENT
OUT"
"PB14",-0,"TIM1_
CH2N",-0,"TIM8_
CH2N","I2CFMP1
_SDA","SPI2_MISO","I2S2ext_SD","USART3_
RTS","DFSDM1_
DATIN2","TIM12_CH1","FSMC_D0/
FSMC_DA0",-0,"SDIO_D6",-0,-0,"EVENT
OUT"
"PB15","RTC_
REFIN","TIM1_
CH3N",-0,"TIM8_
CH3N","I2CFMP1
_SCL","SPI2_MOSI/I
2S2_SD",-0,-0,"DFSDM1_
CKIN2","TIM12_CH2",-0,-0,"SDIO_CK",-0,-0,"EVENT
OUT"
"PC0",-0,"LPTIM1_
IN1",-0,"DFSDM2_CK
IN4",-0,-0,-0,"SAI1_
MCLK_B",-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PC1",-0,"LPTIM1_
OUT",-0,"DFSDM2_DA
TIN4",-0,-0,-0,"SAI1_SD_B",-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PC2",-0,"LPTIM1_IN
2",-0,"DFSDM2_DA
TIN7",-0,"SPI2_MISO","I2S2ext_SD","SAI1_SCK_
B","DFSDM1_
CKOUT",-0,-0,-0,"FSMC_NWE",-0,-0,"EVENT
OUT"
"PC3",-0,"LPTIM1_
ETR",-0,"DFSDM2_CK
IN7",-0,"SPI2_MOSI/I
2S2_SD",-0,"SAI1_FS_B",-0,-0,-0,-0,"FSMC_A0",-0,-0,"EVENT
OUT"
